name,minLon,minLat,maxLon,maxLat
10NW17C(e816n819:e817n819).tif,113.9905431,22.31167132,113.9922965,22.31238422
10NW17D(e817n819:e818n819).tif,113.9922942,22.31167331,113.9995755,22.3171012
10NW18A(e818n819:e818n820).tif,113.9995646,22.31710021,114.006848,22.3225297
10NW18B(e818n819:e819n820).tif,114.0068427,22.31710801,114.0141273,22.32253835
10NW18C(e818n819:e818n819).tif,113.9995699,22.31168146,114.0068545,22.31711184
10NW18D(e818n819:e819n819).tif,114.006849,22.31168934,114.0141334,22.31711957
10NW19A(e819n819:e820n820).tif,114.0141221,22.31711507,114.0214067,22.3225454
10NW19B(e820n819:e821n820).tif,114.0214018,22.31712216,114.028686,22.3225522
10NW19C(e819n819:e820n819).tif,114.0141285,22.31169677,114.0214127,22.3171268
10NW19D(e820n819:e821n819).tif,114.0214075,22.31170395,114.0286909,22.31713334
10NW20A(e821n819:e821n820).tif,114.0286815,22.31712897,114.0359654,22.3225588
10NW20B(e821n819:e822n820).tif,114.0359612,22.31713547,114.0432447,22.32256499
10NW20C(e821n819:e821n819).tif,114.0286885,22.31171342,114.0359708,22.31714204
10NW20D(e821n819:e822n819).tif,114.0359664,22.31171722,114.0432495,22.31714649
10NW21B(e815n818:e816n819).tif,113.9788874,22.30623917,113.9850248,22.31026739
10NW21C(e815n818:e815n818).tif,113.9715588,22.3008117,113.9777527,22.30460432
10NW21D(e815n818:e816n818).tif,113.9777493,22.30082191,113.9850323,22.30625104
10NW22A(e816n818:e817n819).tif,113.9850194,22.30624664,113.9923035,22.31167667
10NW22B(e817n818:e818n819).tif,113.9922972,22.30625508,113.9995824,22.31168587
10NW22C(e816n818:e817n818).tif,113.9850254,22.30082835,113.9923107,22.30625915
10NW22D(e817n818:e818n818).tif,113.9923044,22.30083695,113.9995892,22.30626745
10NW23A(e818n818:e818n819).tif,113.9995763,22.3062631,114.0068611,22.31169363
10NW23B(e818n818:e819n819).tif,114.0068555,22.30627092,114.0141399,22.3117011
10NW23C(e818n818:e818n818).tif,113.999583,22.30084484,114.0068675,22.30627508
10NW23D(e818n818:e819n818).tif,114.0068619,22.30085258,114.0141461,22.30628263
10NW24A(e819n818:e820n819).tif,114.0141329,22.30627833,114.0214142,22.3117062
10NW24B(e820n818:e821n819).tif,114.0214117,22.30992214,114.0277376,22.3117019
10NW24C(e819n818:e820n818).tif,114.0141451,22.3008602,114.0208753,22.30628957
10NW25A(e821n818:e821n819).tif,114.0317128,22.30694498,114.0359756,22.31171032
10NW25B(e821n818:e822n819).tif,114.0359726,22.30629998,114.0432548,22.31172853
10NW25D(e821n818:e822n818).tif,114.0373949,22.30585013,114.0428612,22.30629755
10NW6B(e815n822:e816n822).tif,113.9816282,22.33875251,113.9835695,22.34043001
10NW6D(e815n821:e816n822).tif,113.980233,22.33389985,113.98354,22.33875882
10NW9C(e819n821:e820n822).tif,114.01971,22.33337553,114.0202521,22.33380146
10NW9D(e820n821:e821n822).tif,114.022071,22.3333794,114.0286689,22.33632245
10SE10B(e829n816:e830n816).tif,114.1109171,22.28467307,114.1160517,22.28626189
10SE10D(e829n815:e830n816).tif,114.1107878,22.28281148,114.1153935,22.28468074
10SE16A(e822n813:e823n814).tif,114.049116,22.26296269,114.0505726,22.26424909
10SE16B(e823n813:e824n814).tif,114.0505633,22.26296403,114.0563781,22.26499244
10SE16C(e822n813:e823n813).tif,114.0432994,22.25753968,114.0505771,22.26296488
10SE16D(e823n813:e824n813).tif,114.050566,22.25754563,114.056578,22.26297518
10SE1C(e822n816:e823n817).tif,114.0432743,22.29004985,114.0458961,22.29257795
